status,config_key,units,optimizer,learning_rate,dropout,l2,batch_size,epochs_run,best_epoch,training_seconds,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,error
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""optimizer"": ""AdamW"", ""units"": [512, 256, 128, 64]}",512-256-128-64,AdamW,0.0005,0.3,1e-05,512,62,50,98.95295620011166,0.8564048497627833,0.7989265070189926,0.8213073005093379,0.8099623273336124,0.936516842365833,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""optimizer"": ""Nadam"", ""units"": [512, 256, 128, 64]}",512-256-128-64,Nadam,0.001,0.3,1e-05,512,49,37,82.96738629997708,0.8558777016341592,0.797338090010977,0.8221561969439728,0.8095569796600725,0.9368253358378466,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""optimizer"": ""Nadam"", ""units"": [512, 256, 128, 64]}",512-256-128-64,Nadam,0.0005,0.3,1e-05,512,51,39,83.342602299992,0.8560358460727464,0.7988973121984838,0.8200339558573854,0.8093276548209174,0.9364063855004514,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""optimizer"": ""RMSprop"", ""units"": [512, 256, 128, 64]}",512-256-128-64,RMSprop,0.001,0.3,1e-05,512,63,51,95.50962999998592,0.8580917237743806,0.8017098731384446,0.8225806451612904,0.8120111731843576,0.9367522288940133,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""optimizer"": ""RMSprop"", ""units"": [512, 256, 128, 64]}",512-256-128-64,RMSprop,0.0005,0.3,1e-05,512,113,101,172.84814659995027,0.855350553505535,0.798289183222958,0.8186191284663271,0.808326348141939,0.9361642410377069,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.01, ""optimizer"": ""SGD"", ""units"": [512, 256, 128, 64]}",512-256-128-64,SGD,0.01,0.3,1e-05,512,150,138,223.77419389993884,0.8548234053769109,0.8001669913721124,0.8135257498585172,0.8067910761891399,0.9360584558843458,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.005, ""optimizer"": ""SGD"", ""units"": [512, 256, 128, 64]}",512-256-128-64,SGD,0.005,0.3,1e-05,512,150,149,220.10092659993097,0.8552978386926726,0.7995841995841996,0.816213921901528,0.8078134845620668,0.9355255478693808,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""optimizer"": ""Adam"", ""units"": [512, 512, 256, 128]}",512-512-256-128,Adam,0.001,0.3,1e-05,512,44,32,108.87123099993914,0.8551924090669478,0.7982056590752243,0.8181946802490097,0.8080765737441487,0.9359400285789902,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""optimizer"": ""Adam"", ""units"": [512, 512, 256, 128]}",512-512-256-128,Adam,0.0005,0.3,1e-05,512,45,33,109.97979770018719,0.8542435424354243,0.7997770656263062,0.812110922467459,0.8058968058968059,0.9355135892375928,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""optimizer"": ""AdamW"", ""units"": [512, 512, 256, 128]}",512-512-256-128,AdamW,0.001,0.3,1e-05,512,44,32,111.66788940015249,0.8551924090669478,0.7982056590752243,0.8181946802490097,0.8080765737441487,0.9359400285789902,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""optimizer"": ""AdamW"", ""units"": [512, 512, 256, 128]}",512-512-256-128,AdamW,0.0005,0.3,1e-05,512,45,33,114.4457617001608,0.8542435424354243,0.7997770656263062,0.812110922467459,0.8058968058968059,0.9355135892375928,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""optimizer"": ""Nadam"", ""units"": [512, 512, 256, 128]}",512-512-256-128,Nadam,0.001,0.3,1e-05,512,40,28,102.22211809991859,0.8562467053241961,0.8009150145570497,0.8173457838143746,0.8090469855052167,0.9365300610522627,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""optimizer"": ""Nadam"", ""units"": [512, 512, 256, 128]}",512-512-256-128,Nadam,0.0005,0.3,1e-05,512,51,39,129.98281309986487,0.8546652609383236,0.7971873707431407,0.8180531975099038,0.8074855107883527,0.9363720430678117,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""optimizer"": ""RMSprop"", ""units"": [512, 512, 256, 128]}",512-512-256-128,RMSprop,0.001,0.3,1e-05,512,51,39,124.21548489993438,0.8546125461254612,0.7957727147954983,0.8203169213355971,0.8078584366727045,0.9367772695081897,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""optimizer"": ""RMSprop"", ""units"": [512, 512, 256, 128]}",512-512-256-128,RMSprop,0.0005,0.3,1e-05,512,66,54,158.6474880001042,0.8535582498682129,0.7915986949429038,0.8238539898132428,0.8074043261231281,0.9360324226799566,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.01, ""optimizer"": ""SGD"", ""units"": [512, 512, 256, 128]}",512-512-256-128,SGD,0.01,0.3,1e-05,512,150,140,348.0962304000277,0.860305745914602,0.8138675760159136,0.810413129598189,0.8121366794271941,0.9367019039758482,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.005, ""optimizer"": ""SGD"", ""units"": [512, 512, 256, 128]}",512-512-256-128,SGD,0.005,0.3,1e-05,512,150,150,346.60542509984225,0.8580390089615182,0.8116540817780311,0.8060271646859083,0.8088308369418613,0.9353550184933226,
