status,config_key,units,dropout,l2,learning_rate,batch_size,batch_norm,epochs_run,best_epoch,training_seconds,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,error,source,optimizer,activation,model_key
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""optimizer"": ""Nadam"", ""units"": [512, 512, 256, 128]}",512-512-256-128,0.3,1e-05,0.001,512,False,40,28,102.2221180999186,0.8562467053241961,0.8009150145570497,0.8173457838143746,0.8090469855052167,0.9365300610522628,,Focused Search,Nadam,relu,512-512-256-128|Nadam|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False
ok,"{""batch_norm"": true, ""batch_size"": 256, ""dropout"": 0.3, ""l2"": 0.0001, ""learning_rate"": 0.00025, ""units"": [256, 128, 64, 32]}",256-128-64-32,0.3,0.0001,0.00025,256,True,80,76,147.71099200006574,0.8558249868212968,0.7995299322549426,0.8181946802490097,0.8087546325431788,0.9365228632873048,,Broad Search,Adam,relu,256-128-64-32|Adam|lr=0.00025|dropout=0.3|l2=0.0001|batch=256|bn=True
ok,"{""batch_norm"": true, ""batch_size"": 256, ""dropout"": 0.3, ""l2"": 0.0001, ""learning_rate"": 0.0005, ""units"": [256, 128, 64, 32]}",256-128-64-32,0.3,0.0001,0.0005,256,True,80,78,137.70623739995062,0.8551396942540854,0.7910266774454325,0.8306451612903226,0.810351966873706,0.9365207532901452,,Broad Search,Adam,relu,256-128-64-32|Adam|lr=0.0005|dropout=0.3|l2=0.0001|batch=256|bn=True
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""optimizer"": ""Adam"", ""units"": [512, 256, 128, 64]}",512-256-128-64,0.3,1e-05,0.0005,512,False,62,50,98.46308120014146,0.8564048497627833,0.7989265070189926,0.8213073005093379,0.8099623273336124,0.936516842365833,,Focused Search,Adam,relu,512-256-128-64|Adam|lr=0.0005|dropout=0.3|l2=1e-05|batch=512|bn=False
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""optimizer"": ""AdamW"", ""units"": [512, 256, 128, 64]}",512-256-128-64,0.3,1e-05,0.0005,512,False,62,50,98.95295620011166,0.8564048497627833,0.7989265070189926,0.8213073005093379,0.8099623273336124,0.936516842365833,,Focused Search,AdamW,relu,512-256-128-64|AdamW|lr=0.0005|dropout=0.3|l2=1e-05|batch=512|bn=False
ok,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""l2"": 0.0001, ""learning_rate"": 0.001, ""units"": [256, 128, 64]}",256-128-64,0.1,0.0001,0.001,128,False,42,34,80.8017829998862,0.857511860832894,0.8172699520279111,0.7954159592529711,0.8061948806194881,0.9365132880607588,,Broad Search,Adam,relu,256-128-64|Adam|lr=0.001|dropout=0.1|l2=0.0001|batch=128|bn=False
ok,"{""batch_norm"": true, ""batch_size"": 256, ""dropout"": 0.2, ""l2"": 1e-05, ""learning_rate"": 0.001, ""units"": [256, 128, 64, 32]}",256-128-64-32,0.2,1e-05,0.001,256,True,63,55,131.92036550003104,0.8555614127569847,0.7985651214128036,0.8189020939445387,0.8086057557977089,0.9365090977847098,,Broad Search,Adam,relu,256-128-64-32|Adam|lr=0.001|dropout=0.2|l2=1e-05|batch=256|bn=True
ok,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""l2"": 0.0005, ""learning_rate"": 0.0005, ""units"": [256, 128, 64]}",256-128-64,0.1,0.0005,0.0005,128,False,77,69,152.85898719984107,0.8595150237216658,0.8260998370611761,0.7890492359932089,0.8071495766698025,0.936477626136938,,Broad Search,Adam,relu,256-128-64|Adam|lr=0.0005|dropout=0.1|l2=0.0005|batch=128|bn=False
ok,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.2, ""l2"": 0.0, ""learning_rate"": 0.001, ""units"": [128, 64]}",128-64,0.2,0.0,0.001,128,False,80,75,113.55918279988693,0.8595150237216658,0.8327036421338976,0.7795698924731183,0.8052612349287541,0.9364248227150668,,Broad Search,Adam,relu,128-64|Adam|lr=0.001|dropout=0.2|l2=0.0|batch=128|bn=False
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""optimizer"": ""Nadam"", ""units"": [512, 256, 128, 64]}",512-256-128-64,0.3,1e-05,0.0005,512,False,51,39,83.342602299992,0.8560358460727464,0.7988973121984838,0.8200339558573854,0.8093276548209174,0.9364063855004514,,Focused Search,Nadam,relu,512-256-128-64|Nadam|lr=0.0005|dropout=0.3|l2=1e-05|batch=512|bn=False
