threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
0.349,0.8324196099103848,0.7346446241100519,0.8613469156762875,0.79296646043634,0.9276296056542503,9703,2199,980,6088
0.35,0.8331049024775962,0.7358558994197292,0.8612054329371817,0.7936114732724903,0.9276296056542503,9717,2185,981,6087
0.351,0.8331049024775962,0.7361985472154964,0.8603565365025467,0.7934498956158664,0.9276296056542503,9723,2179,987,6081
0.352,0.8331576172904587,0.7365167858441402,0.8597906055461234,0.7933938246621842,0.9276296056542503,9728,2174,991,6077
0.353,0.8333684765419083,0.736931473620376,0.8596491228070176,0.7935740873767387,0.9276296056542503,9733,2169,992,6076
0.354,0.8333157617290459,0.7372448979591837,0.8586587436332768,0.7933333333333333,0.9276296056542503,9739,2163,999,6069
0.355,0.8334739061676331,0.7377447999026883,0.8580928126768534,0.7933808620576885,0.9276296056542503,9746,2156,1003,6065
0.356,0.833579335793358,0.7381561320180245,0.8575268817204301,0.7933765298776098,0.9276296056542503,9752,2150,1007,6061
0.357,0.8337901950448076,0.7386904036093159,0.8571024335031127,0.7935031763704238,0.9276296056542503,9759,2143,1010,6058
0.358,0.8340010542962573,0.7391092129347163,0.8569609507640068,0.7936840725938544,0.9276296056542503,9764,2138,1011,6057
0.359,0.8342119135477069,0.7396456933414783,0.8565365025466893,0.7938110535632334,0.9276296056542503,9771,2131,1014,6054
0.36,0.8343173431734318,0.7400611620795107,0.855970571590266,0.7938069933740077,0.9276296056542503,9777,2125,1018,6050
0.361,0.8343173431734318,0.7404729812522975,0.8549801924165252,0.7936174404097446,0.9276296056542503,9784,2118,1025,6043
0.362,0.8346863468634687,0.7411678115799804,0.8548387096774194,0.7939553219448094,0.9276296056542503,9792,2110,1026,6042
0.363,0.8345809172377439,0.7413411938098747,0.8539898132427843,0.7936883629191321,0.9276296056542503,9796,2106,1032,6036
0.364,0.8347917764891934,0.7419434194341944,0.853423882286361,0.7937886564021582,0.9276296056542503,9804,2098,1036,6032
0.365,0.8350553505535055,0.7424596823833559,0.8532823995472553,0.7940227766440656,0.9276296056542503,9810,2092,1037,6031
0.366,0.8351607801792303,0.7428817946505608,0.8527164685908319,0.794018839338647,0.9276296056542503,9816,2086,1041,6027
0.367,0.83537163943068,0.743368291178285,0.8524335031126202,0.7941738614644435,0.9276296056542503,9822,2080,1043,6025
0.368,0.8355297838692672,0.7436435448037522,0.8524335031126202,0.7943309162821358,0.9276296056542503,9825,2077,1043,6025
0.369,0.8358460727464417,0.7443757725587145,0.8520090548953028,0.7945639266393983,0.9276296056542503,9834,2068,1046,6022
0.37,0.8360569319978914,0.7449257425742575,0.8515846066779853,0.7946923686295221,0.9276296056542503,9841,2061,1049,6019
0.371,0.8364259356879283,0.7455716586151369,0.8515846066779853,0.795059771481408,0.9276296056542503,9848,2054,1049,6019
0.372,0.8367422245651028,0.7462482946793997,0.8513016411997736,0.7953208644504659,0.9276296056542503,9856,2046,1051,6017
0.373,0.8367949393779652,0.7465855475540104,0.8507357102433503,0.7952651765639466,0.9276296056542503,9861,2041,1055,6013
0.374,0.8371639430680021,0.7472349944078539,0.8507357102433503,0.7956334766787959,0.9276296056542503,9868,2034,1055,6013
0.375,0.8372693726937269,0.7475438378311156,0.8504527447651387,0.7956846912436296,0.9276296056542503,9872,2030,1057,6011
0.376,0.8375856615709014,0.7482874579648773,0.8500282965478212,0.7959197191494999,0.9276296056542503,9881,2021,1060,6008
0.377,0.8377965208223511,0.7487844408427877,0.8497453310696095,0.7960766121015309,0.9276296056542503,9887,2015,1062,6006
0.378,0.8380600948866631,0.749438202247191,0.849320882852292,0.7962594508555512,0.9276296056542503,9895,2007,1065,6003
0.379,0.8382709541381128,0.7500625156289072,0.8487549518958687,0.7963626709146422,0.9276296056542503,9903,1999,1069,5999
0.38,0.8386926726410121,0.751002004008016,0.8483305036785512,0.7967047568429445,0.9276296056542503,9914,1988,1072,5996
